                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.89657,                0.70862,                 1.0344,                0.85125,                 0.8307,                0.85242,                0.62432,                0.91369,                0.73725,                 1.0087,              0.0012971,              0.0012971,              0.0012971
                     73,                 0.8734,                0.68848,                 1.0068,                0.88002,                0.80108,                0.86979,                0.64394,                 0.9099,                0.71968,                 1.0045,              0.0012872,              0.0012872,              0.0012872
                     74,                0.92191,                 0.7247,                 1.0521,                0.87733,                0.81183,                0.86599,                 0.6129,                 0.9289,                0.75222,                0.98533,              0.0012773,              0.0012773,              0.0012773
                     75,                 0.8837,                0.72588,                 0.9992,                0.87256,                0.84946,                0.89696,                0.62693,                 0.9141,                0.70657,                0.96272,              0.0012674,              0.0012674,              0.0012674
                     76,                 0.9045,                0.69647,                 1.0197,                0.79858,                0.85266,                0.88301,                0.64374,                0.88844,                0.70572,                0.96786,              0.0012575,              0.0012575,              0.0012575
                     77,                0.91429,                0.67226,                 1.0219,                0.86194,                 0.7957,                0.86508,                0.61063,                0.91806,                0.76218,                0.98669,              0.0012476,              0.0012476,              0.0012476
                     78,                0.85603,                0.65118,                 1.0048,                0.84733,                0.85484,                0.87537,                0.61909,                0.91788,                0.70685,                0.98799,              0.0012377,              0.0012377,              0.0012377
                     79,                0.83352,                 0.6466,                0.99474,                0.88722,                 0.8036,                0.85593,                0.63158,                0.88936,                0.70034,                 0.9936,              0.0012278,              0.0012278,              0.0012278
                     80,                0.84184,                0.64494,                0.98889,                0.89512,                0.82599,                0.86953,                0.63421,                0.91761,                0.72344,                 1.0187,              0.0012179,              0.0012179,              0.0012179
                     81,                0.86777,                0.67874,                 1.0112,                0.89812,                0.82258,                0.86405,                0.63309,                 0.9063,                0.70173,                 1.0007,               0.001208,               0.001208,               0.001208
                     82,                0.85837,                0.67574,                 1.0189,                0.87163,                 0.8396,                0.86092,                0.64003,                0.89083,                0.69893,                0.99577,              0.0011981,              0.0011981,              0.0011981
                     83,                0.89497,                0.68834,                 1.0014,                0.86142,                0.86559,                0.88545,                0.64447,                0.85992,                 0.6822,                0.98021,              0.0011882,              0.0011882,              0.0011882
                     84,                0.82867,                0.64734,                0.98157,                0.85378,                0.88172,                0.86175,                0.64412,                0.86265,                0.67803,                 0.9774,              0.0011783,              0.0011783,              0.0011783
                     85,                0.86169,                0.66087,                  1.001,                0.87358,                0.84409,                0.87763,                0.63358,                 0.8783,                0.68315,                0.99289,              0.0011684,              0.0011684,              0.0011684
                     86,                0.83291,                 0.6338,                0.98278,                0.87153,                0.83885,                0.88846,                0.63488,                0.85305,                0.69983,                 0.9879,              0.0011585,              0.0011585,              0.0011585
                     87,                0.82726,                0.64534,                0.98605,                 0.8943,                0.83333,                0.88265,                0.64983,                0.85994,                0.68612,                0.98091,              0.0011486,              0.0011486,              0.0011486
                     88,                0.85525,                0.64153,                 1.0121,                0.88193,                0.84333,                 0.8777,                0.64855,                0.90353,                0.68866,                  1.001,              0.0011387,              0.0011387,              0.0011387
                     89,                0.83288,                0.64094,                0.98489,                0.88718,                0.80332,                0.87068,                0.63249,                0.89968,                0.71468,                 1.0097,              0.0011288,              0.0011288,              0.0011288
                     90,                0.83005,                0.62009,                 1.0073,                0.90474,                0.83871,                0.87292,                0.63451,                0.89846,                0.73438,                 1.0054,              0.0011189,              0.0011189,              0.0011189
                     91,                0.83205,                0.63307,                 0.9859,                0.86781,                0.84709,                 0.8691,                0.62869,                0.95506,                0.72542,                 1.0102,               0.001109,               0.001109,               0.001109
                     92,                0.82476,                0.62234,                0.99622,                0.86035,                 0.7957,                0.84614,                0.61571,                0.93499,                0.74232,                 1.0165,              0.0010991,              0.0010991,              0.0010991
                     93,                0.85601,                0.64122,                 1.0032,                0.87299,                0.84995,                0.88223,                0.64224,                0.94862,                0.71509,                 1.0025,              0.0010892,              0.0010892,              0.0010892
                     94,                0.83975,                0.64829,                0.98159,                0.89622,                0.80645,                0.86245,                0.63574,                0.93742,                0.71159,                 1.0019,              0.0010793,              0.0010793,              0.0010793
                     95,                  0.842,                0.63324,                 1.0051,                0.91201,                0.81183,                0.85478,                0.63745,                0.91341,                0.72212,                0.98546,              0.0010694,              0.0010694,              0.0010694
